run,ssh_ready,postgres_ready,benchmark_start,destination_boot,migration_start,migration_end,benchmark_end
1,13.150906522998412,13.296681697000167,13.724881695001386,113.7249576389986,113.82786596300139,154.40529115499885,229.18940459000078
2,13.486088788002235,13.638949305001006,14.08205909499884,114.08212293900215,114.18987086800189,154.76525998000216,229.63388487500197
3,13.613331429001846,13.763930051998614,14.192869242000597,114.19292784099889,114.29781647699929,154.86992409999948,229.49642368499917
4,13.372535242997401,13.519007538998267,13.949169362000248,113.9492324899984,114.05456651499844,154.62634717199762,229.44380812399686
5,13.335513631995127,13.480360289999226,13.90155574399978,113.90162026100006,114.00732436199905,154.5769660109945,229.49959719799517
6,11.22206431000086,11.368700593004178,11.793977976005408,111.79403987700061,111.89929147500516,152.47342131800542,223.11528675700538
7,12.525033359997906,12.678755396998895,14.06671843300137,114.06678380999801,114.17701916999795,154.74990893300128,231.818047544999
8,10.79527687200607,10.939900330005912,11.376137838000432,111.37620142599917,111.48717024100188,152.0641836460054,228.97949354000593
9,10.9384238729981,11.086452546995133,11.522912162996363,111.52297258199542,111.62801669199689,152.19864132799557,214.05747639000037
10,12.518568882005638,12.66452386900346,14.040364950000367,114.04043208900111,114.14831931200024,154.7196589209998,229.723023999999
