timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784072589,1,82515,1594,,,
1784072590,2,83243,1669,728,75,90.66
1784072591,3,106682,4503,23439,2834,89.21
1784072592,4,126382,7272,19700,2769,87.68
1784072593,5,146696,9943,20314,2671,88.38
1784072594,6,168665,12676,21969,2733,88.94
1784072595,7,214758,17963,46093,5287,89.71
1784072596,8,259807,22692,45049,4729,90.50
1784072597,9,309544,28018,49737,5326,90.33
1784072598,10,357958,33179,48414,5161,90.37
1784072599,11,407541,38773,49583,5594,89.86
1784072600,12,456069,44244,48528,5471,89.87
1784072601,13,504245,49665,48176,5421,89.89
1784072602,14,555304,55566,51059,5901,89.64
1784072603,15,603133,61199,47829,5633,89.46
1784072604,16,652821,67007,49688,5808,89.53
1784072605,17,701226,72840,48405,5833,89.25
1784072606,18,749498,78609,48272,5769,89.32
1784072607,19,798492,84671,48994,6062,88.99
1784072608,20,846859,90585,48367,5914,89.10
1784072609,21,895634,96600,48775,6015,89.02
1784072610,22,943743,102734,48109,6134,88.69
1784072611,23,992522,108782,48779,6048,88.97
1784072612,24,1039603,114759,47081,5977,88.73
1784072613,25,1087436,120773,47833,6014,88.83
1784072615,27,1152412,129102,64976,8329,88.64
1784072616,28,1199587,134993,47175,5891,88.90
1784072617,29,1247881,141363,48294,6370,88.35
1784072618,30,1295881,147691,48000,6328,88.35
1784072619,31,1339886,153530,44005,5839,88.29
1784072620,32,1380016,158931,40130,5401,88.14
1784072621,33,1422334,164546,42318,5615,88.29
1784072622,34,1449203,168093,26869,3547,88.34
1784072623,35,1459497,169448,10294,1355,88.37
1784072624,36,1469571,170799,10074,1351,88.18
1784072625,37,1480020,172113,10449,1314,88.83
1784072626,38,1486439,172923,6419,810,88.80
1784072627,39,1491992,173631,5553,708,88.69
1784072628,40,1497058,174296,5066,665,88.40
1784072629,41,1502399,174966,5341,670,88.85
1784072630,42,1507374,175634,4975,668,88.16
1784072631,43,1512717,176297,5343,663,88.96
1784072632,44,1526068,178104,13351,1807,88.08
1784072633,45,1544171,180544,18103,2440,88.12
1784072634,46,1561002,182855,16831,2311,87.93
1784072635,47,1580432,185495,19430,2640,88.04
1784072636,48,1599282,188049,18850,2554,88.07
1784072637,49,1617256,190464,17974,2415,88.16
1784072638,50,1635487,192980,18231,2516,87.87
1784072639,51,1653208,195356,17721,2376,88.18
1784072640,52,1671212,197810,18004,2454,88.00
1784072641,53,1689477,200295,18265,2485,88.02
1784072642,54,1707560,202772,18083,2477,87.95
1784072643,55,1726189,205338,18629,2566,87.89
1784072644,56,1743565,207674,17376,2336,88.15
1784072645,57,1763217,210399,19652,2725,87.82
1784072646,58,1781375,212924,18158,2525,87.79
1784072647,59,1798858,215329,17483,2405,87.91
1784072648,60,1817116,217840,18258,2511,87.91
1784072649,61,1835187,220340,18071,2500,87.85
1784072650,62,1853174,222746,17987,2406,88.20
1784072651,63,1871226,225333,18052,2587,87.47
1784072652,64,1889211,227870,17985,2537,87.64
1784072653,65,1906921,230381,17710,2511,87.58
1784072654,66,1924557,232777,17636,2396,88.04
1784072655,67,1941350,235115,16793,2338,87.78
