run,ssh_ready,postgres_ready,benchmark_start,destination_boot,migration_start,migration_end,benchmark_end
1,13.402970221999567,13.563414854997973,13.986709335000342,113.98677470400071,114.08974898700035,120.52300363500035,229.4159858819985
2,12.526431690999743,12.675022245999571,14.055177354999614,114.05524439600049,114.16036698199969,120.5929120289984,229.5734685089992
3,12.531442717998289,13.684207066999079,14.103559488001338,114.10362731599889,114.21419068199975,120.64295035200121,231.86136510399956
4,11.179647950997605,11.332737945998815,11.757054844998493,111.75711718399907,111.86632691699924,118.29439728199941,225.24649885799954
5,10.94785868100007,11.094902695997007,11.545257133999257,111.54532149299848,111.6510061150002,118.08053739000025,216.41061983299733
6,13.470649082999444,13.620360354998411,14.047898951001116,114.04796149100002,114.15342161900116,120.5839374419993,229.5358721800003
7,13.529783206999127,13.677608483998483,14.104837909999333,114.10490347599989,114.21263985800033,120.64044826100144,229.59856308300004
8,10.981191939998098,11.13215490699804,11.568856071000482,111.56891773800089,111.67841823399795,118.10766863200115,229.3624678519991
9,10.686917235998408,10.833653709996725,11.257241688999784,111.25727790000019,111.36244732100022,117.79076911299853,215.97842652599866
10,12.52854410800137,13.63593845700234,14.06904410900097,114.06911672500064,114.17730757000027,120.60500043900174,234.22582773900285
