timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784054549,0,82515,1594,,,
1784054550,1,82871,1669,356,75,82.60
1784054551,2,89444,2654,6573,985,86.97
1784054552,3,95283,3510,5839,856,87.21
1784054553,4,101175,4390,5892,880,87.01
1784054554,5,107400,5276,6225,886,87.54
1784054555,6,113626,6163,6226,887,87.53
1784054556,7,119571,6993,5945,830,87.75
1784054558,9,125639,7819,6068,826,88.02
1784054559,10,131749,8612,6110,793,88.51
1784054560,11,137745,9358,5996,746,88.94
1784054561,12,146852,10516,9107,1158,88.72
1784054562,13,164125,12707,17273,2191,88.74
1784054563,14,181909,14810,17784,2103,89.43
1784054564,15,200120,16873,18211,2063,89.82
1784054565,16,215427,18547,15307,1674,90.14
1784054566,17,231908,20309,16481,1762,90.34
1784054567,18,248550,22114,16642,1805,90.22
1784054568,19,265305,23931,16755,1817,90.22
1784054569,20,282705,25776,17400,1845,90.41
1784054570,21,300927,27854,18222,2078,89.76
1784054571,22,318451,29745,17524,1891,90.26
1784054572,23,336016,31625,17565,1880,90.33
1784054573,24,354084,33581,18068,1956,90.23
1784054574,25,371793,35581,17709,2000,89.85
1784054575,26,389621,37581,17828,2000,89.91
1784054576,27,407758,39585,18137,2004,90.05
1784054578,29,430472,42154,22714,2569,89.84
1784054579,30,448170,44125,17698,1971,89.98
1784054580,31,466560,46140,18390,2015,90.12
1784054581,32,483371,48071,16811,1931,89.70
1784054582,33,500569,50048,17198,1977,89.69
1784054583,34,518764,52110,18195,2062,89.82
1784054584,35,535986,54103,17222,1993,89.63
1784054585,36,553996,56154,18010,2051,89.78
1784054586,37,560300,56862,6304,708,89.90
1784054587,38,563296,57170,2996,308,90.68
1784054588,39,566283,57483,2987,313,90.52
1784054589,40,577487,58734,11204,1251,89.96
1784054590,41,594878,60841,17391,2107,89.19
1784054591,42,613561,63076,18683,2235,89.32
1784054592,43,631772,65275,18211,2199,89.23
1784054593,44,650670,67545,18898,2270,89.28
1784054594,45,667808,69556,17138,2011,89.50
1784054595,46,686230,71709,18422,2153,89.54
1784054596,47,704806,73955,18576,2246,89.21
1784054597,48,722366,76072,17560,2117,89.24
1784054598,49,739532,78223,17166,2151,88.86
1784054599,50,758036,80436,18504,2213,89.32
1784054600,51,775314,82593,17278,2157,88.90
1784054601,52,790025,84416,14711,1823,88.97
1784054602,53,797230,85214,7205,798,90.03
1784054603,54,803580,85978,6350,764,89.26
1784054604,55,810096,86738,6516,760,89.55
1784054605,56,816626,87502,6530,764,89.53
1784054606,57,823120,88265,6494,763,89.49
1784054607,58,828751,88925,5631,660,89.51
1784054608,59,834568,89631,5817,706,89.18
1784054609,60,840179,90280,5611,649,89.63
1784054610,61,845985,90972,5806,692,89.35
1784054611,62,852330,91728,6345,756,89.35
1784054612,63,858310,92412,5980,684,89.74
1784054613,64,863994,93104,5684,692,89.15
1784054614,65,869797,93816,5803,712,89.07
1784054615,66,875624,94525,5827,709,89.15
1784054616,67,881270,95204,5646,679,89.26
1784054617,68,887045,95903,5775,699,89.20
1784054618,69,892574,96577,5529,674,89.13
1784054619,70,898498,97281,5924,704,89.38
1784054620,71,901853,97678,3355,397,89.42
1784054621,72,903608,97859,1755,181,90.65
1784054622,73,905379,98037,1771,178,90.87
1784054623,74,907198,98228,1819,191,90.50
1784054624,75,910431,98612,3233,384,89.38
1784054625,76,916117,99326,5686,714,88.84
1784054626,77,921797,100027,5680,701,89.01
1784054627,78,927684,100739,5887,712,89.21
1784054628,79,933590,101472,5906,733,88.96
1784054629,80,939220,102168,5630,696,89.00
1784054630,81,945149,102876,5929,708,89.33
1784054631,82,951141,103558,5992,682,89.78
1784054632,83,956924,104266,5783,708,89.09
1784054633,84,962797,104997,5873,731,88.93
1784054634,85,968760,105739,5963,742,88.93
1784054635,86,974364,106436,5604,697,88.94
1784054636,87,980081,107161,5717,725,88.75
1784054637,88,985687,107878,5606,717,88.66
1784054638,89,991503,108606,5816,728,88.88
1784054639,90,997445,109311,5942,705,89.39
1784054640,91,1003322,110081,5877,770,88.42
1784054641,92,1009131,110811,5809,730,88.84
1784054642,93,1014935,111514,5804,703,89.20
1784054643,94,1020802,112188,5867,674,89.70
1784054644,95,1026309,112848,5507,660,89.30
1784054645,96,1031834,113536,5525,688,88.93
1784054646,97,1037571,114214,5737,678,89.43
1784054647,98,1043456,114945,5885,731,88.95
1784054648,99,1049451,115708,5995,763,88.71
1784054649,100,1055427,116440,5976,732,89.09
1784054650,101,1061328,117180,5901,740,88.86
1784054651,102,1067320,117909,5992,729,89.15
1784054652,103,1073181,118631,5861,722,89.03
1784054653,104,1078984,119312,5803,681,89.50
1784054654,105,1084668,120011,5684,699,89.05
1784054655,106,1088569,120459,3901,448,89.70
1784054656,107,1090722,120690,2153,231,90.31
1784054657,108,1096613,121448,5891,758,88.60
1784054658,109,1102499,122181,5886,733,88.93
1784054660,111,1108290,122920,5791,739,88.68
1784054661,112,1113807,123624,5517,704,88.68
1784054662,113,1119432,124327,5625,703,88.89
1784054663,114,1125244,125036,5812,709,89.13
1784054664,115,1130979,125723,5735,687,89.30
1784054665,116,1137034,126501,6055,778,88.61
1784054666,117,1142882,127194,5848,693,89.41
1784054667,118,1148801,127943,5919,749,88.77
1784054668,119,1154850,128704,6049,761,88.83
1784054669,120,1160545,129393,5695,689,89.21
1784054670,121,1166159,130086,5614,693,89.01
1784054671,122,1171936,130808,5777,722,88.89
1784054672,123,1177570,131504,5634,696,89.00
1784054673,124,1183294,132256,5724,752,88.39
1784054674,125,1189453,133079,6159,823,88.21
1784054675,126,1195487,133853,6034,774,88.63
1784054676,127,1201422,134559,5935,706,89.37
1784054677,128,1207261,135286,5839,727,88.93
1784054678,129,1213054,135992,5793,706,89.14
1784054679,130,1218955,136736,5901,744,88.80
1784054680,131,1224560,137448,5605,712,88.73
1784054681,132,1230213,138177,5653,729,88.58
1784054682,133,1235902,138914,5689,737,88.53
1784054683,134,1241736,139612,5834,698,89.31
1784054684,135,1247600,140398,5864,786,88.18
1784054685,136,1253632,141162,6032,764,88.76
1784054686,137,1259579,141922,5947,760,88.67
1784054687,138,1265309,142669,5730,747,88.47
