t_monotonic,t_since_run_start,timestamp_unix,src_pid,src_cpu_percent,src_rss_bytes,src_read_bytes,src_write_bytes,src_read_bytes_per_s,src_write_bytes_per_s,dst_pid,dst_cpu_percent,dst_rss_bytes,dst_read_bytes,dst_write_bytes,dst_read_bytes_per_s,dst_write_bytes_per_s,system_cpu_percent,mem_available_bytes,swap_used_bytes,host_dirty_bytes,host_writeback_bytes,disk_read_bytes_per_s,disk_write_bytes_per_s,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_cpu_full_avg10,psi_cpu_full_avg60,psi_cpu_full_avg300,psi_cpu_full_total,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_memory_full_avg10,psi_memory_full_avg60,psi_memory_full_avg300,psi_memory_full_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total,psi_io_full_avg10,psi_io_full_avg60,psi_io_full_avg300,psi_io_full_total
9599.175167716,0.0007946429996081861,1784053827.2875896,,,,,,,,,,,,,,,0.0,30442307584,0,1605632,131072,0.0,0.0,0.0,0.0,0.0,19474270,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,2.6,6.53,7.41,518745755,2.53,6.35,7.24,511500239
9600.176365925,1.0019928519996029,1784053828.2887883,18173,0.0,57794560,3125248,0,,,,,,,,,,6.4,30405632000,0,1622016,131072,3121507.7812829134,0.0,0.0,0.0,0.0,19476042,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,2.6,6.53,7.41,518745866,2.53,6.35,7.24,511500350
9601.177380365,2.003007291999893,1784053829.2898026,18173,99.9,57802752,3125248,0,0.0,0.0,,,,,,,,6.5,30405234688,0,2359296,0,0.0,8183.698129267373,0.0,0.0,0.0,19476075,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,2.13,6.32,7.36,518745866,2.07,6.14,7.19,511500350
9602.178384935,3.0040118619999703,1784053830.290807,18173,98.9,57810944,3125248,0,0.0,0.0,,,,,,,,6.4,30403944448,0,2359296,0,0.0,0.0,0.0,0.0,0.0,19476475,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,2.13,6.32,7.36,518745866,2.07,6.14,7.19,511500350
9603.179167337,4.004794264001248,1784053831.2915893,18173,99.9,57819136,3125248,0,0.0,0.0,,,,,,,,6.4,30403940352,0,2359296,0,0.0,0.0,0.0,0.0,0.0,19477743,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,1.74,6.11,7.31,518745866,1.69,5.94,7.14,511500350
9604.17992196,5.005548887000259,1784053832.2923443,18173,99.9,57827328,3125248,0,0.0,0.0,,,,,,,,6.6,30396669952,0,2359296,0,0.0,0.0,0.0,0.0,0.0,19477935,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,1.74,6.11,7.31,518745866,1.69,5.94,7.14,511500350
9605.180623042,6.006249969001146,1784053833.293046,18173,120.9,550965248,33980416,0,30833551.152263712,0.0,,,,,,,,7.6,29905829888,0,2531328,0,30833551.152263712,61396.95569944984,0.0,0.0,0.0,19480329,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,1.42,5.91,7.26,518746704,1.38,5.75,7.09,511501162
9606.181496743,7.00712367000051,1784053834.2939196,18173,35.0,606162944,85381120,733184,51355834.35619982,732543.9755964435,,,,,,,,2.3,29857603584,0,409600,0,51355834.35619982,2967007.72238783,0.0,0.0,0.0,19480973,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,1.42,5.91,7.26,518756667,1.38,5.75,7.09,511510958
9607.182627771,8.00825469800111,1784053835.29505,18173,31.0,647122944,101572608,13410304,16173195.662846137,12662798.02087245,,,,,,,,2.1,29824282624,0,4096,0,16173195.662846137,11071254.101609321,0.0,0.0,0.0,19481811,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,1.35,5.75,7.22,518774210,1.31,5.59,7.05,511527297
9608.18365411,9.009281037000619,1784053836.2960763,18173,147.8,818941952,195297280,16916480,93628577.33960782,3502581.1643520803,,,,,,,,9.2,29652176896,0,462848,0,93628577.33960782,2659670.2766692196,0.0,0.0,0.0,19482645,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,1.35,5.75,7.22,518781040,1.31,5.59,7.05,511533915
