t_monotonic,t_since_run_start,timestamp_unix,event,details
10667.920899351,0.0003930469993065344,1784054896.0333216,run_start,
10667.921718504,0.0012121999989176402,1784054896.03414,source_vm_started,pid=19982
10668.023093829,0.10258752499976254,1784054896.135516,source_qmp_ready,
10679.081886143,11.161379838998982,1784054907.194308,source_ssh_ready,
10679.227971456,11.307465152000077,1784054907.3403935,source_postgres_ready,
10679.663075189,11.742568884999855,1784054907.7754972,benchmark_start,
10829.663174883,161.74266857899966,1784055057.7755976,destination_boot_start,
10829.663520761,161.74301445699894,1784055057.7759426,destination_process_started,pid=20221
10829.765084842,161.84457853799904,1784055057.8775067,destination_qmp_ready,
10829.766685999,161.8461796949996,1784055057.879108,migration_started,
10847.038203723,179.11769741899843,1784055075.150626,migration_end,
10847.076317828,179.15581152399864,1784055075.1887398,source_terminate_requested,pid=19982
10847.14005699,179.2195506859989,1784055075.252479,source_terminated,pid=19982
11010.078543048,342.1580367439983,1784055238.190965,benchmark_end,
