t_monotonic,t_since_run_start,timestamp_unix,event,details
13274.277488194,0.0003871749995596474,1784057502.3899102,run_start,
13274.278352184,0.0012511649983935058,1784057502.390774,source_vm_started,pid=24567
13274.379814879,0.10271385999840277,1784057502.492237,source_qmp_ready,
13285.049699541,10.772598521998589,1784057513.162122,source_ssh_ready,
13285.197333079,10.920232059999762,1784057513.309755,source_postgres_ready,
13285.630680076,11.35357905699857,1784057513.7431018,benchmark_start,
13385.630761213,111.35366019399953,1784057613.7431836,destination_boot_start,
13385.63100985,111.35390883099899,1784057613.7434316,destination_process_started,pid=24759
13385.733546817,111.45644579799955,1784057613.845969,destination_qmp_ready,
13385.735653512,111.45855249299893,1784057613.8480752,migration_started,
13500.090660963,225.81355994399928,1784057728.2030833,migration_end,
13501.133839697,226.8567386779996,1784057729.2462616,source_terminate_requested,pid=24567
13501.247882061,226.97078104199863,1784057729.3603044,source_terminated,pid=24567
13501.411386433,227.13428541399844,1784057729.5238085,benchmark_end,
