t_monotonic,t_since_run_start,timestamp_unix,event,details
24214.019522269,0.00045000600221101195,1784068442.1319444,run_start,
24214.020375921,0.001303658002143493,1784068442.1327977,source_vm_started,pid=41968
24214.121791162,0.10271889900104725,1784068442.2342134,source_qmp_ready,
24227.114077079,13.095004816001165,1784068455.2264996,source_ssh_ready,
24227.263227062,13.24415479900199,1784068455.3756495,source_postgres_ready,
24227.705185132,13.686112868999771,1784068455.8176076,benchmark_start,
24377.705270319,163.68619805599883,1784068605.8176932,destination_boot_start,
24377.705550147,163.68647788399903,1784068605.817972,destination_process_started,pid=42197
24377.806849719,163.78777745600019,1784068605.9192717,destination_qmp_ready,
24377.809708132,163.79063586900156,1784068605.9221299,source_stopped,
24377.81104459,163.7919723269988,1784068605.9234662,migration_started,
24392.079836733,178.0607644699994,1784068620.1922588,migration_end,
24392.422379673,178.4033074100007,1784068620.534802,destination_resumed,
24392.840477222,178.82140495899876,1784068620.9528992,source_terminate_requested,pid=41968
24392.904249207,178.8851769440007,1784068621.0166712,source_terminated,pid=41968
24472.607943606,258.5888713429995,1784068700.7203655,benchmark_end,
