timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784068848,124,1196905,133674,5892,724,89.06
1784068849,125,1202765,134394,5860,720,89.06
1784068850,126,1208525,135127,5760,733,88.71
1784068851,127,1214158,135881,5633,754,88.19
1784068852,128,1219807,136589,5649,708,88.86
1784068853,129,1225618,137308,5811,719,88.99
1784068854,130,1231336,138046,5718,738,88.57
1784068855,131,1237287,138776,5951,730,89.07
1784068856,132,1243099,139506,5812,730,88.84
1784068857,133,1248967,140270,5868,764,88.48
1784068858,134,1253928,140925,4961,655,88.34
1784068860,136,1255887,141137,1959,212,90.23
1784068861,137,1261671,141863,5784,726,88.85
1784068862,138,1267667,142629,5996,766,88.67
1784068863,139,1273411,143347,5744,718,88.89
1784068864,140,1279320,144071,5909,724,89.08
1784068865,141,1285260,144803,5940,732,89.03
1784068866,142,1290839,145516,5579,713,88.67
1784068867,143,1296676,146281,5837,765,88.41
1784068868,144,1302391,147022,5715,741,88.52
1784068869,145,1307974,147741,5583,719,88.59
1784068870,146,1313827,148449,5853,708,89.21
1784068871,147,1319607,149167,5780,718,88.95
1784068872,148,1325604,149930,5997,763,88.71
1784068873,149,1331399,150660,5795,730,88.81
1784068874,150,1337098,151379,5699,719,88.80
1784068875,151,1342761,152099,5663,720,88.72
1784068876,152,1348350,152816,5589,717,88.63
1784068877,153,1353937,153530,5587,714,88.67
1784068878,154,1359507,154205,5570,675,89.19
1784068879,155,1365405,154995,5898,790,88.19
1784068880,156,1371506,155809,6101,814,88.23
1784068881,157,1377603,156660,6097,851,87.75
1784068882,158,1383437,157422,5834,762,88.45
1784068883,159,1389234,158148,5797,726,88.87
1784068884,160,1395788,158997,6554,849,88.53
1784068885,161,1408431,160686,12643,1689,88.22
1784068886,162,1425049,162988,16618,2302,87.83
1784068887,163,1442214,165336,17165,2348,87.97
1784068888,164,1459256,167597,17042,2261,88.29
1784068889,165,1475915,169845,16659,2248,88.11
1784068890,166,1492385,172037,16470,2192,88.25
1784068891,167,1507990,174110,15605,2073,88.27
1784068892,168,1511927,174575,3937,465,89.44
1784068893,169,1525029,176253,13102,1678,88.65
1784068894,170,1541569,178536,16540,2283,87.87
1784068895,171,1557406,180745,15837,2209,87.76
1784068896,172,1574411,183119,17005,2374,87.75
1784068897,173,1590497,185305,16086,2186,88.04
1784068898,174,1607075,187593,16578,2288,87.87
1784068899,175,1623938,189782,16863,2189,88.51
1784068900,176,1640366,192018,16428,2236,88.02
1784068901,177,1656744,194246,16378,2228,88.03
1784068902,178,1672852,196489,16108,2243,87.78
1784068903,179,1689695,198748,16843,2259,88.17
