t_monotonic,t_since_run_start,timestamp_unix,event,details
68667.029544621,0.0007354019908234477,1784112895.1419668,run_start,
68667.094545009,0.06573578999086749,1784112895.206967,source_vm_started,pid=111434
68667.195933956,0.1671247369959019,1784112895.3083563,source_qmp_ready,
68678.309386883,11.280577664001612,1784112906.421809,ssh_ready,
68678.455962629,11.427153409997118,1784112906.5683844,postgres_ready,
68678.900510787,11.8717015680013,1784112907.012933,source_benchmark_start,
68678.900535387,11.87172616799944,1784112907.012957,benchmark_start,
68828.900613595,161.87180437600182,1784113057.0130367,destination_boot_start,
68828.900861463,161.87205224399804,1784113057.0132833,destination_process_started,pid=111747
68829.002235103,161.97342588400352,1784113057.114657,destination_qmp_ready,
68844.202038598,177.17322937899735,1784113072.3144608,destination_ssh_ready,
68844.515849426,177.4870402069937,1784113072.6282713,destination_standby_postgres_ready,
68863.709292685,196.6804834659997,1784113091.8217146,standby_ready,lag_bytes=16370856
68864.782088332,197.75327911299246,1784113092.8945107,source_shutdown_request,
68866.698855848,199.67004662899126,1784113094.811278,source_powered_off,
68866.698886597,199.67007737800304,1784113094.8113084,standby_replay_drain_start,
68866.945966168,199.91715694899904,1784113095.0583885,standby_replay_drained,
68866.945986908,199.9171776889998,1784113095.0584085,promotion_start,
68867.311207755,200.28239853600098,1784113095.4236298,promotion_complete,
68867.787431312,200.7586220929952,1784113095.8998532,destination_benchmark_start,
69238.606809637,571.5780004179978,1784113466.719232,benchmark_end,
