timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784111285,123,1253528,142239,5936,770,88.52
1784111286,124,1259690,143063,6162,824,88.20
1784111287,125,1265670,143815,5980,752,88.83
1784111288,126,1271838,144585,6168,770,88.90
1784111289,127,1277675,145344,5837,759,88.49
1784111290,128,1283569,146069,5894,725,89.05
1784111291,129,1289382,146793,5813,724,88.92
1784111292,130,1295396,147530,6014,737,89.08
1784111293,131,1301441,148331,6045,801,88.30
1784111294,132,1307597,149097,6156,766,88.93
1784111295,133,1313739,149863,6142,766,88.91
1784111296,134,1319033,150516,5294,653,89.02
1784111297,135,1320838,150696,1805,180,90.93
1784111298,136,1326381,151425,5543,729,88.38
1784111299,137,1332080,152156,5699,731,88.63
1784111300,138,1337818,152921,5738,765,88.24
1784111301,139,1343944,153706,6126,785,88.64
1784111302,140,1349951,154457,6007,751,88.89
1784111303,141,1356199,155238,6248,781,88.89
1784111304,142,1362270,156007,6071,769,88.76
1784111305,143,1368357,156809,6087,802,88.36
1784111306,144,1374108,157555,5751,746,88.52
1784111307,145,1379696,158261,5588,706,88.78
1784111308,146,1385791,159004,6095,743,89.13
1784111309,147,1391665,159764,5874,760,88.54
1784111310,148,1397644,160561,5979,797,88.24
1784111311,149,1403482,161321,5838,760,88.48
1784111312,150,1409549,162141,6067,820,88.09
1784111313,151,1415857,162950,6308,809,88.63
1784111314,152,1422051,163781,6194,831,88.17
1784111315,153,1428231,164559,6180,778,88.82
1784111316,154,1434219,165347,5988,788,88.37
1784111317,155,1439946,166055,5727,708,89.00
1784111318,156,1445769,166806,5823,751,88.58
1784111319,157,1451574,167573,5805,767,88.33
1784111320,158,1457441,168299,5867,726,88.99
1784111321,159,1463000,169012,5559,713,88.63
1784111322,160,1468980,169789,5980,777,88.50
1784111323,161,1474342,170474,5362,685,88.67
1784111324,162,1480232,171235,5890,761,88.56
1784111325,163,1485864,171958,5632,723,88.62
1784111326,164,1491125,172613,5261,655,88.93
1784111327,165,1494405,173044,3280,431,88.39
1784111328,166,1496773,173335,2368,291,89.06
1784111329,167,1497854,173442,1081,107,90.99
1784111330,168,1499076,173565,1222,123,90.86
1784111331,169,1502010,173949,2934,384,88.43
1784111332,170,1504781,174301,2771,352,88.73
1784111333,171,1507579,174658,2798,357,88.68
1784111334,172,1510389,175002,2810,344,89.09
1784111335,173,1513150,175354,2761,352,88.69
1784111336,174,1515879,175697,2729,343,88.83
1784111337,175,1518819,176085,2940,388,88.34
1784111338,176,1521718,176427,2899,342,89.45
1784111339,177,1524635,176778,2917,351,89.26
1784111340,178,1527586,177148,2951,370,88.86
1784111341,179,1530529,177509,2943,361,89.07
1784111342,180,1533442,177862,2913,353,89.19
1784111343,181,1536187,178183,2745,321,89.53
1784111344,182,1539225,178561,3038,378,88.93
1784111345,183,1542253,178940,3028,379,88.88
1784111346,184,1545232,179283,2979,343,89.67
1784111347,185,1548148,179646,2916,363,88.93
1784111348,186,1550838,179967,2690,321,89.34
