t_monotonic,t_since_run_start,timestamp_unix,event,details
35479.07374612,0.003201739993528463,1784079707.1861684,run_start,
35479.118712623,0.048168242996325716,1784079707.2311344,source_vm_started,pid=63517
35479.22030172,0.1497573399974499,1784079707.3327236,source_qmp_ready,
35489.837760817,10.767216436994204,1784079717.950183,ssh_ready,
35489.985265835,10.914721454995743,1784079718.097688,postgres_ready,
35490.418608331,11.348063950994401,1784079718.5310302,source_benchmark_start,
35490.418627761,11.348083380995377,1784079718.5310495,benchmark_start,
35641.219528937,162.14898455699586,1784079869.331951,source_powerdown_requested,
35642.735798765,163.66525438499957,1784079870.8482213,source_powered_off,
35642.735830434,163.665286053998,1784079870.848252,destination_boot_start,
35642.736053352,163.6655089719934,1784079870.8484755,destination_process_started,pid=63878
35642.837867042,163.76732266199542,1784079870.9502892,destination_qmp_ready,
35656.292249726,177.22170534599718,1784079884.4046717,destination_postgres_ready,
35656.587246759,177.51670237899816,1784079884.6996686,destination_benchmark_start,
35857.442413785,378.3718694049967,1784080085.554836,benchmark_end,
