t_monotonic,t_since_run_start,timestamp_unix,event,details
45071.918468951,0.0063091720003285445,1784089300.0308912,run_start,
45072.021013171,0.10885339199739974,1784089300.1334357,source_vm_started,pid=80797
45072.122445784,0.21028600499994354,1784089300.234868,source_qmp_ready,
45082.31463861,10.402478830998007,1784089310.4270608,ssh_ready,
45083.434737114,11.522577335003007,1784089311.547159,postgres_ready,
45083.874518047,11.962358267999662,1784089311.9869401,source_benchmark_start,
45083.874536657,11.962376878000214,1784089311.9869583,benchmark_start,
45233.874606042,161.96244626300177,1784089461.987029,destination_boot_start,
45233.874840399,161.96268062000308,1784089461.9872622,destination_process_started,pid=81078
45233.976240008,162.06408022899996,1784089462.088662,destination_qmp_ready,
45246.415480091,174.5033203119965,1784089474.5279021,destination_ssh_ready,
45246.559965394,174.64780561500083,1784089474.6723876,destination_standby_postgres_ready,
45272.883431074,200.9712712949986,1784089500.995853,standby_ready,lag_bytes=16680808
45273.94044378,202.0282840009968,1784089502.0528657,source_shutdown_request,
45275.757069667,203.84490988800098,1784089503.8694918,source_powered_off,
45275.757093686,203.84493390699936,1784089503.8695152,standby_replay_drain_start,
45276.074483708,204.16232392899838,1784089504.1869059,standby_replay_drained,
45276.074502388,204.16234260900092,1784089504.186924,promotion_start,
45276.436516386,204.52435660699848,1784089504.5489385,promotion_complete,
45276.895306636,204.98314685699734,1784089505.0077288,destination_benchmark_start,
45479.026402196,407.11424241700297,1784089707.1388242,benchmark_end,
