t_monotonic,t_since_run_start,timestamp_unix,src_pid,src_cpu_percent,src_rss_bytes,src_read_bytes,src_write_bytes,src_read_bytes_per_s,src_write_bytes_per_s,dst_pid,dst_cpu_percent,dst_rss_bytes,dst_read_bytes,dst_write_bytes,dst_read_bytes_per_s,dst_write_bytes_per_s,system_cpu_percent,mem_available_bytes,swap_used_bytes,host_dirty_bytes,host_writeback_bytes,disk_read_bytes_per_s,disk_write_bytes_per_s,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_cpu_full_avg10,psi_cpu_full_avg60,psi_cpu_full_avg300,psi_cpu_full_total,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_memory_full_avg10,psi_memory_full_avg60,psi_memory_full_avg300,psi_memory_full_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total,psi_io_full_avg10,psi_io_full_avg60,psi_io_full_avg300,psi_io_full_total
45908.007839383,0.002905056993768085,1784090136.1202612,,,,,,,,,,,,,,,0.0,30443651072,0,1499136,0,0.0,0.0,0.0,0.0,0.0,107688964,0.0,0.0,0.0,0,0.0,0.0,0.0,4167142,0.0,0.0,0.0,4162649,2.56,5.63,6.93,3502004403,2.54,5.56,6.78,3435288080
45909.008592068,1.003657741995994,1784090137.1210144,82496,0.0,59891712,0,0,,,,,,,,,,6.0,30407438336,0,2994176,196608,192367.20808755243,2410729.480075923,0.0,0.0,0.0,107691653,0.0,0.0,0.0,0,0.0,0.0,0.0,4167142,0.0,0.0,0.0,4162649,2.82,5.58,6.91,3502012114,2.81,5.51,6.76,3435295689
45910.009695679,2.0047613529968658,1784090138.122118,82496,98.9,59899904,0,0,0.0,0.0,,,,,,,,6.5,30403117056,0,2355200,0,0.0,1722515.0134819546,0.0,0.0,0.0,107692035,0.0,0.0,0.0,0,0.0,0.0,0.0,4167142,0.0,0.0,0.0,4162649,2.82,5.58,6.91,3502012242,2.81,5.51,6.76,3435295807
45911.010542084,3.0056077579938574,1784090139.1229641,82496,99.9,59908096,0,0,0.0,0.0,,,,,,,,6.3,30400348160,0,2355200,0,0.0,0.0,0.0,0.0,0.0,107692071,0.0,0.0,0.0,0,0.0,0.0,0.0,4167142,0.0,0.0,0.0,4162649,2.31,5.4,6.86,3502012242,2.3,5.33,6.71,3435295807
45912.011374639,4.006440312994528,1784090140.1237967,82496,99.9,59916288,0,0,0.0,0.0,,,,,,,,6.4,30400344064,0,2355200,0,0.0,0.0,0.0,0.0,0.0,107692248,0.0,0.0,0.0,0,0.0,0.0,0.0,4167142,0.0,0.0,0.0,4162649,2.31,5.4,6.86,3502012242,2.3,5.33,6.71,3435295807
45913.012035327,5.007101000999683,1784090141.1244571,82496,99.9,59924480,0,0,0.0,0.0,,,,,,,,6.2,30400335872,0,2711552,0,0.0,0.0,0.0,0.0,0.0,107692271,0.0,0.0,0.0,0,0.0,0.0,0.0,4167142,0.0,0.0,0.0,4162649,1.89,5.22,6.81,3502012242,1.88,5.16,6.67,3435295807
45914.012782544,6.00784821799607,1784090142.1252053,82496,113.9,550719488,0,0,0.0,0.0,,,,,,,,7.5,29912539136,0,3022848,0,0.0,36836.47515967368,0.0,0.0,0.0,107694086,0.0,0.0,0.0,0,0.0,0.0,0.0,4167142,0.0,0.0,0.0,4162649,1.89,5.22,6.81,3502019811,1.88,5.16,6.67,3435303359
45915.013561191,7.008626864997495,1784090143.1259837,82496,42.0,608137216,0,733184,0.0,732613.5526540225,,,,,,,,3.7,29852049408,0,3117056,0,0.0,773541.684087208,0.0,0.0,0.0,107694706,0.0,0.0,0.0,0,0.0,0.0,0.0,4167142,0.0,0.0,0.0,4162649,1.55,5.05,6.77,3502030362,1.54,4.99,6.62,3435313853
45916.01430652,8.009372193999297,1784090144.1267288,82496,34.0,663236608,32768,12869632,32743.595248837773,12127409.09028829,,,,,,,,2.4,29786112000,0,3301376,0,32743.595248837773,10936360.813111817,0.0,0.0,0.0,107695758,0.0,0.0,0.0,0,0.0,0.0,0.0,4167142,0.0,0.0,0.0,4162649,1.55,5.05,6.77,3502039629,1.54,4.99,6.62,3435322585
45917.015074348,9.01014002199372,1784090145.1274967,82496,142.9,799625216,73728,17035264,40928.57389519146,4162435.965140972,,,,,,,,9.7,29644914688,0,3317760,0,40928.57389519146,3094200.1864764746,0.0,0.0,0.0,107696505,0.0,0.0,0.0,0,0.0,0.0,0.0,4167142,0.0,0.0,0.0,4162649,1.26,4.88,6.72,3502053915,1.26,4.82,6.58,3435336790
