timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784086663,125,690708,101340,5655,873,86.63
1784086664,126,696670,102200,5962,860,87.39
1784086665,127,702310,102999,5640,799,87.59
1784086666,128,708148,103823,5838,824,87.63
1784086667,129,713730,104629,5582,806,87.38
1784086668,130,719515,105451,5785,822,87.56
1784086669,131,725180,106260,5665,809,87.50
1784086670,132,730819,107069,5639,809,87.45
1784086671,133,736482,107897,5663,828,87.24
1784086672,134,741709,108642,5227,745,87.53
1784086673,135,743769,108888,2060,246,89.33
1784086674,136,749614,109750,5845,862,87.15
1784086675,137,755417,110596,5803,846,87.28
1784086676,138,761239,111450,5822,854,87.21
1784086677,139,767162,112254,5923,804,88.05
1784086678,140,772687,113053,5525,799,87.37
1784086679,141,778208,113878,5521,825,87.00
1784086680,142,783809,114737,5601,859,86.70
1784086681,143,789536,115531,5727,794,87.82
1784086682,144,795407,116394,5871,863,87.18
1784086683,145,801006,117217,5599,823,87.18
1784086684,146,806750,118073,5744,856,87.03
1784086685,147,812516,118913,5766,840,87.28
1784086686,148,818229,119734,5713,821,87.43
1784086687,149,824031,120568,5802,834,87.43
1784086688,150,829763,121409,5732,841,87.21
1784086689,151,835401,122250,5638,841,87.02
1784086690,152,841199,123113,5798,863,87.04
1784086691,153,846910,123956,5711,843,87.14
1784086692,154,853018,124818,6108,862,87.63
1784086693,155,858671,125629,5653,811,87.45
1784086694,156,864263,126426,5592,797,87.53
1784086695,157,869797,127239,5534,813,87.19
1784086696,158,875508,128090,5711,851,87.03
1784086697,159,881168,128908,5660,818,87.37
1784086698,160,887017,129768,5849,860,87.18
1784086699,161,892635,130582,5618,814,87.34
1784086700,162,898259,131417,5624,835,87.07
1784086701,163,903816,132193,5557,776,87.75
1784086702,164,909612,133060,5796,867,86.99
1784086703,165,915493,133894,5881,834,87.58
1784086704,166,920872,134682,5379,788,87.22
1784086705,167,923431,135068,2559,386,86.89
1784086706,168,929146,135888,5715,820,87.45
1784086707,169,934909,136728,5763,840,87.28
1784086708,170,940529,137568,5620,840,87.00
1784086709,171,946171,138369,5642,801,87.57
1784086710,172,951826,139221,5655,852,86.91
1784086711,173,957626,140073,5800,852,87.19
1784086712,174,963192,140864,5566,791,87.56
1784086713,175,968920,141715,5728,851,87.06
1784086714,176,974464,142555,5544,840,86.84
1784086715,177,980212,143397,5748,842,87.22
1784086716,178,985832,144190,5620,793,87.63
1784086717,179,991274,145046,5442,856,86.41
1784086718,180,996937,145893,5663,847,86.99
1784086719,181,1002605,146702,5668,809,87.51
1784086720,182,1007958,147491,5353,789,87.15
1784086721,183,1013637,148287,5679,796,87.71
1784086722,184,1019435,149160,5798,873,86.91
1784086723,185,1024842,149989,5407,829,86.71
1784086724,186,1030454,150833,5612,844,86.93
1784086725,187,1036028,151706,5574,873,86.46
1784086726,188,1041605,152579,5577,873,86.47
1784086727,189,1047101,153402,5496,823,86.98
1784086728,190,1052728,154263,5627,861,86.73
1784086729,191,1058305,155100,5577,837,86.95
1784086730,192,1064053,155929,5748,829,87.40
1784086731,193,1069580,156714,5527,785,87.56
1784086732,194,1075027,157549,5447,835,86.71
1784086733,195,1080638,158415,5611,866,86.63
1784086734,196,1086226,159263,5588,848,86.82
1784086735,197,1092006,160100,5780,837,87.35
1784086736,198,1095812,160636,3806,536,87.66
1784086737,199,1100187,161253,4375,617,87.64
1784086738,200,1105628,162046,5441,793,87.28
