t_monotonic,t_since_run_start,timestamp_unix,event,details
21046.853627852,0.000560045002202969,1784065274.9660501,run_start,
21046.854406244,0.0013384370031417347,1784065274.966828,source_vm_started,pid=36738
21046.956033963,0.10296615600236692,1784065275.068456,source_qmp_ready,
21057.176623151,10.32355534400267,1784065285.2890453,source_ssh_ready,
21058.320083332,11.467015525002353,1784065286.4325054,source_postgres_ready,
21058.756426443,11.90335863600194,1784065286.8688483,benchmark_start,
21158.756508486,111.9034406790015,1784065386.868931,destination_boot_start,
21158.756785843,111.90371803600283,1784065386.8692076,destination_process_started,pid=36906
21158.860543802,112.00747599500028,1784065386.9729662,destination_qmp_ready,
21158.863170168,112.01010236100046,1784065386.975592,migration_started,
21159.064603072,112.21153526500348,1784065387.177025,postcopy_requested,
21159.265879428,112.41281162100131,1784065387.3783016,postcopy_started,
21161.075427755,114.22235994800212,1784065389.18785,migration_end,
21163.239068527,116.3860007200019,1784065391.3514905,source_terminate_requested,pid=36738
21163.304053582,116.45098577500175,1784065391.416476,source_terminated,pid=36738
21276.733563247,229.88049544000023,1784065504.8459852,benchmark_end,
