run,ssh_ready,postgres_ready,standby_ready,promotion_start,promotion_done,benchmark_resume,benchmark_start,benchmark_end,shutdown_request,shutdown_finished,ssh2_ready,postgres2_ready
1,13.304950770994765,13.450601574004395,-69546.608337207,-69546.608337207,-69546.608337207,-69546.608337207,13.888116289002937,331.7746794419945,0.0,0.0,0.0,0.0
2,10.890767752999977,11.035347828999988,-413.363816045,-413.363816045,-413.363816045,-413.363816045,11.477158089999989,327.12520266499996,0.0,0.0,0.0,0.0
3,11.015109922000079,11.164118921000068,-751.490274025,-751.490274025,-751.490274025,-751.490274025,11.595462224000016,325.07052188800003,0.0,0.0,0.0,0.0
4,10.662337166000043,10.808579060000056,-1087.539670328,-1087.539670328,-1087.539670328,-1087.539670328,11.240429535999965,326.7726249939999,0.0,0.0,0.0,0.0
5,13.498293585000056,13.649658987000066,-1425.3085373,-1425.3085373,-1425.3085373,-1425.3085373,14.100445144000105,325.363058978,0.0,0.0,0.0,0.0
6,10.633920333999868,10.780066227999896,-1761.661219621,-1761.661219621,-1761.661219621,-1761.661219621,11.206556844999795,324.5723241359999,0.0,0.0,0.0,0.0
7,11.22820056699993,11.390938073999678,-2097.265603738,-2097.265603738,-2097.265603738,-2097.265603738,11.824521645000004,325.2627863109997,0.0,0.0,0.0,0.0
8,11.273830435000036,11.419261089999964,-2433.565261549,-2433.565261549,-2433.565261549,-2433.565261549,11.855029390000254,323.3670891320003,0.0,0.0,0.0,0.0
9,11.160253018000276,11.30575072900001,-2767.955795982,-2767.955795982,-2767.955795982,-2767.955795982,11.73835275700003,322.938454825,0.0,0.0,0.0,0.0
10,12.240305863999765,12.392676754999684,-3101.886345067,-3101.886345067,-3101.886345067,-3101.886345067,12.830225231999975,328.6073937609999,0.0,0.0,0.0,0.0
