t_monotonic,t_since_run_start,timestamp_unix,event,details
40528.235181363,0.006343546003336087,1784084756.3476036,run_start,
40528.376205389,0.14736757200444117,1784084756.488628,source_vm_started,pid=72383
40528.477564788,0.2487269710036344,1784084756.589987,source_qmp_ready,
40539.030520429,10.80168261200015,1784084767.1429427,ssh_ready,
40539.190272637,10.961434820004797,1784084767.3026946,postgres_ready,
40539.619652603,11.390814786005649,1784084767.7320747,source_benchmark_start,
40539.619676093,11.390838276005525,1784084767.7320979,benchmark_start,
40690.661264697,162.43242688000464,1784084918.773687,source_powerdown_requested,
40692.228486246,163.99964842900226,1784084920.3409085,source_powered_off,
40692.228523246,163.99968542900024,1784084920.340945,destination_boot_start,
40692.228820733,163.9999829160006,1784084920.3412426,destination_process_started,pid=72629
40692.330257856,164.10142003900546,1784084920.44268,destination_qmp_ready,
40705.113744829,176.884907012005,1784084933.2261672,destination_postgres_ready,
40705.402958515,177.17412069800048,1784084933.5153804,destination_benchmark_start,
40906.246120036,378.01728221899975,1784085134.358542,benchmark_end,
