run,ssh_ready,postgres_ready,benchmark_start,destination_boot,migration_start,migration_end,benchmark_end
1,12.512557262998598,13.598956124000324,13.998877575999359,163.99895390999882,164.1016590959989,166.11391464999906,352.9185615739989
2,13.168288748998748,13.315685633999237,13.751484977001383,163.75156406300084,163.85678360699967,165.8699755279995,346.4797885929984
3,13.40051954700175,13.553398883999762,13.981948849999753,163.98200866800107,164.08701247000135,166.09881521300122,348.71828680100225
4,12.532464625001012,13.677760548998776,14.110507655001129,164.11057149399858,164.21563804299876,166.23072485599914,348.80716856199797
5,13.431764716999169,13.576407114000176,13.999477241999557,163.9995395570004,164.10462721500153,166.11624983000002,348.54913239000234
6,10.317915682997409,11.421806713999104,11.865560849997564,161.86562202599816,161.97047860599923,163.98187427299854,348.8667344369969
7,11.195145732999663,11.348007822998625,11.780954345998907,161.78102230899822,161.88603089699973,163.89728695099984,348.5470663319975
8,13.419752590001735,13.570634007999615,14.002157314000215,164.00221675500143,164.1072115829993,166.12116985000102,346.58223995799926
9,13.07134217299972,13.222252859999571,13.660688002997631,163.66075750099844,163.76594370699968,165.7782985069971,352.5679631219973
10,13.481868586000928,13.632797322999977,14.070068025001092,164.0701408340028,164.17521651100105,166.18806205500005,344.3338775660013
